Year,Quarter,State,EntityName,Type,Count,Amount
2023,2,uttar-pradesh,gautam buddha nagar,,,
2023,2,uttar-pradesh,ghaziabad,,,
2023,2,uttar-pradesh,lucknow,,,
2023,2,uttar-pradesh,kanpur nagar,,,
2023,2,uttar-pradesh,meerut,,,
2023,2,uttar-pradesh,moradabad,,,
2023,2,uttar-pradesh,prayagraj,,,
2023,2,uttar-pradesh,agra,,,
2023,2,uttar-pradesh,gorakhpur,,,
2023,2,uttar-pradesh,bareilly,,,
2023,3,uttar-pradesh,gautam buddha nagar,,,
2023,3,uttar-pradesh,ghaziabad,,,
2023,3,uttar-pradesh,lucknow,,,
2023,3,uttar-pradesh,kanpur nagar,,,
2023,3,uttar-pradesh,meerut,,,
2023,3,uttar-pradesh,gorakhpur,,,
2023,3,uttar-pradesh,prayagraj,,,
2023,3,uttar-pradesh,agra,,,
2023,3,uttar-pradesh,moradabad,,,
2023,3,uttar-pradesh,varanasi,,,
2023,1,uttar-pradesh,ghaziabad,,,
2023,1,uttar-pradesh,gautam buddha nagar,,,
2023,1,uttar-pradesh,lucknow,,,
2023,1,uttar-pradesh,kanpur nagar,,,
2023,1,uttar-pradesh,meerut,,,
2023,1,uttar-pradesh,prayagraj,,,
2023,1,uttar-pradesh,agra,,,
2023,1,uttar-pradesh,gorakhpur,,,
2023,1,uttar-pradesh,bareilly,,,
2023,1,uttar-pradesh,varanasi,,,
2023,4,uttar-pradesh,gautam buddha nagar,,,
2023,4,uttar-pradesh,ghaziabad,,,
2023,4,uttar-pradesh,lucknow,,,
2023,4,uttar-pradesh,kanpur nagar,,,
2023,4,uttar-pradesh,meerut,,,
2023,4,uttar-pradesh,prayagraj,,,
2023,4,uttar-pradesh,agra,,,
2023,4,uttar-pradesh,gorakhpur,,,
2023,4,uttar-pradesh,bareilly,,,
2023,4,uttar-pradesh,varanasi,,,
2022,2,uttar-pradesh,gautam buddha nagar,,,
2022,2,uttar-pradesh,ghaziabad,,,
2022,2,uttar-pradesh,lucknow,,,
2022,2,uttar-pradesh,kanpur nagar,,,
2022,2,uttar-pradesh,meerut,,,
2022,2,uttar-pradesh,gorakhpur,,,
2022,2,uttar-pradesh,bulandshahr,,,
2022,2,uttar-pradesh,prayagraj,,,
2022,2,uttar-pradesh,varanasi,,,
2022,2,uttar-pradesh,bareilly,,,
2022,3,uttar-pradesh,gautam buddha nagar,,,
2022,3,uttar-pradesh,ghaziabad,,,
2022,3,uttar-pradesh,lucknow,,,
2022,3,uttar-pradesh,meerut,,,
2022,3,uttar-pradesh,kanpur nagar,,,
2022,3,uttar-pradesh,gorakhpur,,,
2022,3,uttar-pradesh,prayagraj,,,
2022,3,uttar-pradesh,bulandshahr,,,
2022,3,uttar-pradesh,agra,,,
2022,3,uttar-pradesh,varanasi,,,
2022,1,uttar-pradesh,ghaziabad,,,
2022,1,uttar-pradesh,gautam buddha nagar,,,
2022,1,uttar-pradesh,lucknow,,,
2022,1,uttar-pradesh,kanpur nagar,,,
2022,1,uttar-pradesh,meerut,,,
2022,1,uttar-pradesh,prayagraj,,,
2022,1,uttar-pradesh,agra,,,
2022,1,uttar-pradesh,varanasi,,,
2022,1,uttar-pradesh,gorakhpur,,,
2022,1,uttar-pradesh,bulandshahr,,,
2022,4,uttar-pradesh,gautam buddha nagar,,,
2022,4,uttar-pradesh,ghaziabad,,,
2022,4,uttar-pradesh,lucknow,,,
2022,4,uttar-pradesh,kanpur nagar,,,
2022,4,uttar-pradesh,meerut,,,
2022,4,uttar-pradesh,prayagraj,,,
2022,4,uttar-pradesh,gorakhpur,,,
2022,4,uttar-pradesh,agra,,,
2022,4,uttar-pradesh,varanasi,,,
2022,4,uttar-pradesh,bulandshahr,,,
2021,2,uttar-pradesh,gautam buddha nagar,,,
2021,2,uttar-pradesh,ghaziabad,,,
2021,2,uttar-pradesh,lucknow,,,
2021,2,uttar-pradesh,kanpur nagar,,,
2021,2,uttar-pradesh,moradabad,,,
2021,2,uttar-pradesh,prayagraj,,,
2021,2,uttar-pradesh,meerut,,,
2021,2,uttar-pradesh,gorakhpur,,,
2021,2,uttar-pradesh,varanasi,,,
2021,2,uttar-pradesh,agra,,,
2021,3,uttar-pradesh,gautam buddha nagar,,,
2021,3,uttar-pradesh,ghaziabad,,,
2021,3,uttar-pradesh,lucknow,,,
2021,3,uttar-pradesh,kanpur nagar,,,
2021,3,uttar-pradesh,moradabad,,,
2021,3,uttar-pradesh,meerut,,,
2021,3,uttar-pradesh,prayagraj,,,
2021,3,uttar-pradesh,gorakhpur,,,
2021,3,uttar-pradesh,agra,,,
2021,3,uttar-pradesh,varanasi,,,
2021,1,uttar-pradesh,gautam buddha nagar,,,
2021,1,uttar-pradesh,ghaziabad,,,
2021,1,uttar-pradesh,lucknow,,,
2021,1,uttar-pradesh,kanpur nagar,,,
2021,1,uttar-pradesh,prayagraj,,,
2021,1,uttar-pradesh,meerut,,,
2021,1,uttar-pradesh,varanasi,,,
2021,1,uttar-pradesh,gorakhpur,,,
2021,1,uttar-pradesh,agra,,,
2021,1,uttar-pradesh,moradabad,,,
2021,4,uttar-pradesh,ghaziabad,,,
2021,4,uttar-pradesh,gautam buddha nagar,,,
2021,4,uttar-pradesh,lucknow,,,
2021,4,uttar-pradesh,kanpur nagar,,,
2021,4,uttar-pradesh,meerut,,,
2021,4,uttar-pradesh,prayagraj,,,
2021,4,uttar-pradesh,agra,,,
2021,4,uttar-pradesh,gorakhpur,,,
2021,4,uttar-pradesh,varanasi,,,
2021,4,uttar-pradesh,bareilly,,,
2024,2,uttar-pradesh,gautam buddha nagar,,,
2024,2,uttar-pradesh,ghaziabad,,,
2024,2,uttar-pradesh,lucknow,,,
2024,2,uttar-pradesh,kanpur nagar,,,
2024,2,uttar-pradesh,meerut,,,
2024,2,uttar-pradesh,prayagraj,,,
2024,2,uttar-pradesh,moradabad,,,
2024,2,uttar-pradesh,bareilly,,,
2024,2,uttar-pradesh,gorakhpur,,,
2024,2,uttar-pradesh,varanasi,,,
2024,3,uttar-pradesh,gautambuddha nagar,,,
2024,3,uttar-pradesh,ghaziabad,,,
2024,3,uttar-pradesh,lucknow,,,
2024,3,uttar-pradesh,kanpur nagar,,,
2024,3,uttar-pradesh,meerut,,,
2024,3,uttar-pradesh,prayagraj,,,
2024,3,uttar-pradesh,gorakhpur,,,
2024,3,uttar-pradesh,moradabad,,,
2024,3,uttar-pradesh,agra,,,
2024,3,uttar-pradesh,varanasi,,,
2024,1,uttar-pradesh,gautam buddha nagar,,,
2024,1,uttar-pradesh,ghaziabad,,,
2024,1,uttar-pradesh,lucknow,,,
2024,1,uttar-pradesh,kanpur nagar,,,
2024,1,uttar-pradesh,meerut,,,
2024,1,uttar-pradesh,prayagraj,,,
2024,1,uttar-pradesh,agra,,,
2024,1,uttar-pradesh,moradabad,,,
2024,1,uttar-pradesh,gorakhpur,,,
2024,1,uttar-pradesh,bareilly,,,
2024,4,uttar-pradesh,gautambuddha nagar,,,
2024,4,uttar-pradesh,ghaziabad,,,
2024,4,uttar-pradesh,lucknow,,,
2024,4,uttar-pradesh,kanpur nagar,,,
2024,4,uttar-pradesh,prayagraj,,,
2024,4,uttar-pradesh,meerut,,,
2024,4,uttar-pradesh,gorakhpur,,,
2024,4,uttar-pradesh,moradabad,,,
2024,4,uttar-pradesh,agra,,,
2024,4,uttar-pradesh,varanasi,,,
2020,2,uttar-pradesh,gautam buddha nagar,,,
2020,2,uttar-pradesh,ghaziabad,,,
2020,2,uttar-pradesh,lucknow,,,
2020,2,uttar-pradesh,kanpur nagar,,,
2020,2,uttar-pradesh,gorakhpur,,,
2020,2,uttar-pradesh,meerut,,,
