State,Year,Quarter,Entity_level,Entity_Name,Transaction_Count,Transaction_Amount
uttar-pradesh,2023,2,districts,gautam buddha nagar,157681545,150948217823.0
uttar-pradesh,2023,2,districts,ghaziabad,79274230,106962936038.0
uttar-pradesh,2023,2,districts,lucknow,75332865,96742551859.0
uttar-pradesh,2023,2,districts,prayagraj,41130090,55619365184.0
uttar-pradesh,2023,2,districts,agra,36064514,57518188065.0
uttar-pradesh,2023,2,districts,kanpur nagar,33104317,52168272566.0
uttar-pradesh,2023,2,districts,varanasi,32929066,51653036301.0
uttar-pradesh,2023,2,districts,meerut,30318321,48422446534.0
uttar-pradesh,2023,2,districts,gorakhpur,28202448,48397427638.0
uttar-pradesh,2023,2,districts,mathura,27350787,40577938266.0
uttar-pradesh,2023,2,pincodes,201301,40364243,33059188347.0
uttar-pradesh,2023,2,pincodes,201318,17444621,19656564631.0
uttar-pradesh,2023,2,pincodes,201307,16920503,16180602744.0
uttar-pradesh,2023,2,pincodes,201009,14994389,18076763410.0
uttar-pradesh,2023,2,pincodes,201304,12745549,12101340147.0
uttar-pradesh,2023,2,pincodes,201102,12714382,19536668258.0
uttar-pradesh,2023,2,pincodes,201306,12399069,10716162351.0
uttar-pradesh,2023,2,pincodes,201308,12084863,12002926184.0
uttar-pradesh,2023,2,pincodes,201303,10761245,9905758913.0
uttar-pradesh,2023,2,pincodes,201305,10354243,8423095526.0
uttar-pradesh,2023,3,districts,gautam buddha nagar,180450033,164910883457.0
uttar-pradesh,2023,3,districts,ghaziabad,90310474,114685853196.0
uttar-pradesh,2023,3,districts,lucknow,86168998,103457346131.0
uttar-pradesh,2023,3,districts,prayagraj,46007458,55169169118.0
uttar-pradesh,2023,3,districts,agra,41540299,60724548821.0
uttar-pradesh,2023,3,districts,varanasi,36947014,51945207590.0
uttar-pradesh,2023,3,districts,kanpur nagar,36784059,54129176816.0
uttar-pradesh,2023,3,districts,meerut,34303179,51158129419.0
uttar-pradesh,2023,3,districts,mathura,32732371,44180537058.0
uttar-pradesh,2023,3,districts,gorakhpur,29832994,47279353029.0
uttar-pradesh,2023,3,pincodes,201301,45155149,35368082651.0
uttar-pradesh,2023,3,pincodes,201318,20436577,21846908173.0
uttar-pradesh,2023,3,pincodes,201307,19630158,17734631784.0
uttar-pradesh,2023,3,pincodes,201009,17402281,19361646819.0
uttar-pradesh,2023,3,pincodes,201304,14781464,13255812453.0
uttar-pradesh,2023,3,pincodes,201102,14156869,20395686438.0
uttar-pradesh,2023,3,pincodes,201306,14095971,11973683352.0
uttar-pradesh,2023,3,pincodes,201308,13655777,13342495125.0
uttar-pradesh,2023,3,pincodes,201303,12516040,10835007123.0
uttar-pradesh,2023,3,pincodes,201305,11795524,9203453971.0
uttar-pradesh,2023,1,districts,gautam buddha nagar,130607154,135979906082.0
uttar-pradesh,2023,1,districts,ghaziabad,66936417,98038172535.0
uttar-pradesh,2023,1,districts,lucknow,65525552,87840979618.0
uttar-pradesh,2023,1,districts,prayagraj,35080059,49998377066.0
uttar-pradesh,2023,1,districts,agra,30391351,52433820121.0
