Year,Quarter,State,District,Pincode,RegisteredUsers
2023,2,uttar-pradesh,,201301,883262
2023,2,uttar-pradesh,,201009,490549
2023,2,uttar-pradesh,,201102,438404
2023,2,uttar-pradesh,,201307,390571
2023,2,uttar-pradesh,,201318,371461
2023,2,uttar-pradesh,,250001,356132
2023,2,uttar-pradesh,,247001,355869
2023,2,uttar-pradesh,,211002,343690
2023,2,uttar-pradesh,,244001,326263
2023,2,uttar-pradesh,,202001,316879
2023,3,uttar-pradesh,,201301,916333
2023,3,uttar-pradesh,,201009,509567
2023,3,uttar-pradesh,,201102,456202
2023,3,uttar-pradesh,,201307,404383
2023,3,uttar-pradesh,,201318,384922
2023,3,uttar-pradesh,,247001,369754
2023,3,uttar-pradesh,,250001,369729
2023,3,uttar-pradesh,,211002,357229
2023,3,uttar-pradesh,,244001,339288
2023,3,uttar-pradesh,,202001,329040
2023,1,uttar-pradesh,,201301,851451
2023,1,uttar-pradesh,,201009,472156
2023,1,uttar-pradesh,,201102,421148
2023,1,uttar-pradesh,,201307,377174
2023,1,uttar-pradesh,,201318,358519
2023,1,uttar-pradesh,,250001,343215
2023,1,uttar-pradesh,,247001,342913
2023,1,uttar-pradesh,,211002,331246
2023,1,uttar-pradesh,,244001,313785
2023,1,uttar-pradesh,,202001,305180
2023,4,uttar-pradesh,,201301,948041
2023,4,uttar-pradesh,,201009,527630
2023,4,uttar-pradesh,,201102,472944
2023,4,uttar-pradesh,,201307,417786
2023,4,uttar-pradesh,,201318,397777
2023,4,uttar-pradesh,,247001,382408
2023,4,uttar-pradesh,,250001,382212
2023,4,uttar-pradesh,,211002,369972
2023,4,uttar-pradesh,,244001,351270
2023,4,uttar-pradesh,,202001,340875
2019,2,uttar-pradesh,,201301,336709
2019,2,uttar-pradesh,,201009,163175
2019,2,uttar-pradesh,,201307,150570
2019,2,uttar-pradesh,,201318,132350
2019,2,uttar-pradesh,,211002,127093
2019,2,uttar-pradesh,,201102,120848
2019,2,uttar-pradesh,,250001,114100
2019,2,uttar-pradesh,,201304,110497
2019,2,uttar-pradesh,,201308,107652
2019,2,uttar-pradesh,,201014,106204
2019,3,uttar-pradesh,,201301,369425
2019,3,uttar-pradesh,,201009,181701
2019,3,uttar-pradesh,,201307,164576
2019,3,uttar-pradesh,,201318,145568
2019,3,uttar-pradesh,,201102,139053
2019,3,uttar-pradesh,,211002,138117
2019,3,uttar-pradesh,,250001,129231
2019,3,uttar-pradesh,,201304,121814
2019,3,uttar-pradesh,,201308,117632
2019,3,uttar-pradesh,,247001,116900
2019,1,uttar-pradesh,,201301,301260
2019,1,uttar-pradesh,,201009,144046
2019,1,uttar-pradesh,,201307,135947
2019,1,uttar-pradesh,,201318,118300
2019,1,uttar-pradesh,,211002,115266
2019,1,uttar-pradesh,,201102,103700
2019,1,uttar-pradesh,,201304,98500
2019,1,uttar-pradesh,,250001,98424
2019,1,uttar-pradesh,,201308,97239
2019,1,uttar-pradesh,,201014,95743
2019,4,uttar-pradesh,,201301,398548
2019,4,uttar-pradesh,,201009,198846
2019,4,uttar-pradesh,,201307,177022
2019,4,uttar-pradesh,,201318,157783
2019,4,uttar-pradesh,,201102,156516
2019,4,uttar-pradesh,,211002,149208
2019,4,uttar-pradesh,,250001,142373
2019,4,uttar-pradesh,,201304,132136
2019,4,uttar-pradesh,,247001,128979
2019,4,uttar-pradesh,,201308,126492
2022,2,uttar-pradesh,,201301,735907
2022,2,uttar-pradesh,,201009,407033
2022,2,uttar-pradesh,,201102,362067
2022,2,uttar-pradesh,,201307,328207
2022,2,uttar-pradesh,,201318,310735
2022,2,uttar-pradesh,,250001,297920
2022,2,uttar-pradesh,,247001,296944
2022,2,uttar-pradesh,,211002,284353
2022,2,uttar-pradesh,,244001,270738
2022,2,uttar-pradesh,,202001,263278
2022,3,uttar-pradesh,,201301,774591
2022,3,uttar-pradesh,,201009,428994
2022,3,uttar-pradesh,,201102,382248
2022,3,uttar-pradesh,,201307,344791
2022,3,uttar-pradesh,,201318,327083
2022,3,uttar-pradesh,,250001,313513
